wChemicalFormula	wListOfElements	wListOfElementsQ	wCurieTemperature
Ag4Ce3Ge4	Ag;Ce;Ge;	4;3;4;	10 K;
Ag51Pr14	Ag;Pr;	51;14;	13 K;
AgAl3Ce	Ag;Al;Ce;	1;3;1;	3.2 K;3 K;3 K;
AgAuCd2	Ag;Au;Cd;	1;1;2;	310 K;
AgCe	Ag;Ce;	1;1;	9 K;7.5 K;5.5 K;9 K;5.3 K;6 K;5.5 K;5 K;5.5 K;
AgCeSb2	Ag;Ce;Sb;	1;1;2;	9.8 K;9.6 K;
AgF3Ni	Ag;F;Ni;	1;3;1;	197 K;
AgI	Ag;I;	1;1;	538 K;533 K;
AgSb2U	Ag;Sb;U;	1;2;1;	92 K;
Al0.2Fe1.8Ti	Al;Fe;Ti;	0.2;1.8;1;	43 K;
Al0.2Fe1.8Y	Al;Fe;Y;	0.2;1.8;1;	381 K;
Al0.4Fe1.6Ti	Al;Fe;Ti;	0.4;1.6;1;	151 K;
Al0.4Fe1.6Y	Al;Fe;Y;	0.4;1.6;1;	320 K;
Al0.5Co12.5La	Al;Co;La;	0.5;12.5;1;	1214 K;
Al0.5Co2FeSi0.5	Al;Co;Fe;Si;	0.5;2;1;0.5;	1107 K;
Al0.5Co2MnSi0.5	Al;Co;Mn;Si;	0.5;2;1;0.5;	931 K;
Al0.6Fe1.4Ti	Al;Fe;Ti;	0.6;1.4;1;	143 K;
Al0.6Fe1.4Y	Al;Fe;Y;	0.6;1.4;1;	72 K;
Al0.75CoSn0.25U	Al;Co;Sn;U;	0.75;1;0.25;1;	5.5 K;
Al0.89Mn1.11	Al;Mn;	0.89;1.11;	677 K;404 K;
Al0.8Fe1.2Ti	Al;Fe;Ti;	0.8;1.2;1;	73 K;
Al0.8Fe1.2Y	Al;Fe;Y;	0.8;1.2;1;	49 K;
Al0.9CeSi1.1	Al;Ce;Si;	0.9;1;1.1;	11 K;
Al1.3Fe0.7Y	Al;Fe;Y;	1.3;0.7;1;	19 K;
Al1.5Co11.5La	Al;Co;La;	1.5;11.5;1;	1044 K;
Al1.5Co15.5Pr2	Al;Co;Pr;	1.5;15.5;2;	976 K;
Al10Fe2Tb	Al;Fe;Tb;	10;2;1;	17.6 K;
Al10Fe7Ho2	Al;Fe;Ho;	10;7;2;	170 K;
Al10Fe7Y2	Al;Fe;Y;	10;7;2;	112 K;
Al11Ce0.15La2.85	Al;Ce;La;	11;0.15;2.85;	1.3 K;
Al11Ce2.1La0.9	Al;Ce;La;	11;2.1;0.9;	3.7 K;
Al11Ce2.7La0.3	Al;Ce;La;	11;2.7;0.3;	5.4 K;
Al11Ce3	Al;Ce;	11;3;	6.3 K;6 K;6.2 K;6.3 K;6.2 K;6.2 K;6.2 K;
Al2.5Co10.5La	Al;Co;La;	2.5;10.5;1;	843 K;
Al20Cr2Nd	Al;Cr;Nd;	20;2;1;	1.7 K;
Al20Fe2Gd	Al;Fe;Gd;	20;2;1;	86 K;
Al20NdRu2	Al;Nd;Ru;	20;1;2;	1.9 K;
Al20NdV2	Al;Nd;V;	20;1;2;	1.8 K;1.81 K;
Al2BCeRu2	Al;B;Ce;Ru;	2;1;1;2;	13 K;13 K;12.8 K;
Al2CFe15Y2	Al;C;Fe;Y;	2;1;15;2;	501 K;501 K;
Al2Ce	Al;Ce;	2;1;	8 K;
Al2Ce2Co15	Al;Ce;Co;	2;2;15;	751 K;
Al2Ce2Fe15	Al;Ce;Fe;	2;2;15;	345 K;
Al2Co10.5Fe4.5Ho2	Al;Co;Fe;Ho;	2;10.5;4.5;2;	908 K;
Al2Co11La	Al;Co;La;	2;11;1;	957 K;
Al2Co12Fe3Ho2	Al;Co;Fe;Ho;	2;12;3;2;	919 K;
Al2Co13.5Fe1.5Ho2	Al;Co;Fe;Ho;	2;13.5;1.5;2;	930 K;
Al2Co15Dy2	Al;Co;Dy;	2;15;2;	901 K;896 K;
Al2Co15Er2	Al;Co;Er;	2;15;2;	903 K;903 K;
Al2Co15Gd2	Al;Co;Gd;	2;15;2;	922 K;922 K;
Al2Co15Ho2	Al;Co;Ho;	2;15;2;	898 K;897 K;940 K;
Al2Co15Nd2	Al;Co;Nd;	2;15;2;	888 K;
Al2Co15Pr2	Al;Co;Pr;	2;15;2;	893 K;871 K;
Al2Co15Sm2	Al;Co;Sm;	2;15;2;	904 K;
Al2Co15Tb2	Al;Co;Tb;	2;15;2;	913 K;
Al2Co15Tm2	Al;Co;Tm;	2;15;2;	887 K;
Al2Co15Y2	Al;Co;Y;	2;15;2;	891 K;899 K;
Al2Co3Fe12Ho2	Al;Co;Fe;Ho;	2;3;12;2;	635 K;
Al2Co6Fe9Ho2	Al;Co;Fe;Ho;	2;6;9;2;	773 K;
Al2Co9Fe6Ho2	Al;Co;Fe;Ho;	2;9;6;2;	874 K;
Al2Dy	Al;Dy;	2;1;	63 K;62 K;62 K;63.2 K;
Al2Er	Al;Er;	2;1;	12.6 K;13.5 K;14 K;24 K;12 K;
Al2Fe15Ho2	Al;Fe;Ho;	2;15;2;	411 K;408 K;
Al2Fe15NY2	Al;Fe;N;Y;	2;15;1;2;	693 K;
Al2Fe15Y2	Al;Fe;Y;	2;15;2;	402 K;396 K;
Al2Gd	Al;Gd;	2;1;	171 K;182 K;163 K;167 K;182 K;176 K;168 K;182 K;170 K;165 K;168 K;168 K;173 K;
Al2Gd3	Al;Gd;	2;3;	287 K;
Al2Ho	Al;Ho;	2;1;	28 K;35 K;29 K;30.8 K;28 K;42 K;42 K;28 K;28 K;
Al2Nd	Al;Nd;	2;1;	65 K;68 K;76 K;76 K;79 K;65 K;68 K;
Al2Np	Al;Np;	2;1;	56 K;56 K;
Al2Pr	Al;Pr;	2;1;	35 K;33 K;37 K;33 K;34 K;33 K;34 K;38 K;31 K;
Al2Sm	Al;Sm;	2;1;	122 K;122 K;
Al2Tb	Al;Tb;	2;1;	111 K;121 K;121 K;105 K;
Al2Tm	Al;Tm;	2;1;	3.9 K;4.2 K;8 K;
Al3.5Co9.5La	Al;Co;La;	3.5;9.5;1;	890 K;
Al3B6Co16Fe4	Al;B;Co;Fe;	3;6;16;4;	623 K;
Al3B6Co2	Al;B;Co;	3;6;2;	406 K;
Al3B6Co20	Al;B;Co;	3;6;20;	409 K;409 K;
Al3CFe14Y2	Al;C;Fe;Y;	3;1;14;2;	481 K;
Al3Ce0.33Th0.67	Al;Ce;Th;	3;0.33;0.67;	5 K;
Al3Ce0.67Th0.33	Al;Ce;Th;	3;0.67;0.33;	6 K;
Al3Ce2Fe14	Al;Ce;Fe;	3;2;14;	385 K;
Al3Ce2Ge4	Al;Ce;Ge;	3;2;4;	11 K;
Al3Co10La	Al;Co;La;	3;10;1;	885 K;
Al3Co14Dy2	Al;Co;Dy;	3;14;2;	727 K;
Al3Co14Er2	Al;Co;Er;	3;14;2;	743 K;
Al3Co14Gd2	Al;Co;Gd;	3;14;2;	701 K;
Al3Co14Ho2	Al;Co;Ho;	3;14;2;	738 K;
Al3Co14Pr2	Al;Co;Pr;	3;14;2;	741 K;
Al3Co14Y2	Al;Co;Y;	3;14;2;	718 K;
Al3Co8ErTi	Al;Co;Er;Ti;	3;8;1;1;	760 K;
Al3Fe14Ho2	Al;Fe;Ho;	3;14;2;	423 K;
Al3Fe14Y2	Al;Fe;Y;	3;14;2;	423 K;
Al4.5Fe12.5Ho2	Al;Fe;Ho;	4.5;12.5;2;	405 K;
Al4CFe13Y2	Al;C;Fe;Y;	4;1;13;2;	435 K;
Al4Ce	Al;Ce;	4;1;	9 K;
Al4Ce2Fe13	Al;Ce;Fe;	4;2;13;	375 K;
Al4CeIrSi2	Al;Ce;Ir;Si;	4;1;1;2;	10.8 K;
Al4Co13Dy2	Al;Co;Dy;	4;13;2;	592 K;
Al4Co13Er2	Al;Co;Er;	4;13;2;	681 K;
Al4Co13Gd2	Al;Co;Gd;	4;13;2;	505 K;
Al4Co13Ho2	Al;Co;Ho;	4;13;2;	606 K;
Al4Co13Pr2	Al;Co;Pr;	4;13;2;	583 K;
Al4Co13Y2	Al;Co;Y;	4;13;2;	635 K;
Al4Co9La	Al;Co;La;	4;9;1;	890 K;
Al4Fe13Ho2	Al;Fe;Ho;	4;13;2;	412 K;
Al4Fe13Y2	Al;Fe;Y;	4;13;2;	410 K;
Al4Fe8U	Al;Fe;U;	4;8;1;	480 K;
Al5.5Fe11.5Ho2	Al;Fe;Ho;	5.5;11.5;2;	338 K;
Al5Ce2Fe12	Al;Ce;Fe;	5;2;12;	315 K;
Al5Co12Gd2	Al;Co;Gd;	5;12;2;	420 K;
Al5Fe12Ho2	Al;Fe;Ho;	5;12;2;	367 K;
Al5Fe12Y2	Al;Fe;Y;	5;12;2;	362 K;
Al5Fe7Y	Al;Fe;Y;	5;7;1;	330 K;
Al6.5Fe10.5Ho2	Al;Fe;Ho;	6.5;10.5;2;	253 K;
Al6.5Fe5.5Hf	Al;Fe;Hf;	6.5;5.5;1;	230 K;
Al6.5Fe5.5Zr	Al;Fe;Zr;	6.5;5.5;1;	233 K;
Al6Ce2Fe11	Al;Ce;Fe;	6;2;11;	245 K;
Al6Fe11Ho2	Al;Fe;Ho;	6;11;2;	295 K;
Al6Fe11Y2	Al;Fe;Y;	6;11;2;	378 K;
Al6Fe6Hf	Al;Fe;Hf;	6;6;1;	187 K;
Al6Fe6U	Al;Fe;U;	6;6;1;	355 K;315 K;334 K;355 K;
Al6Fe6Y	Al;Fe;Y;	6;6;1;	308 K;
Al6Fe6Zr	Al;Fe;Zr;	6;6;1;	180 K;
Al7.5Fe9.5Ho2	Al;Fe;Ho;	7.5;9.5;2;	191 K;
Al7Ce2Fe10	Al;Ce;Fe;	7;2;10;	140 K;
Al7Ce2Ge4Ir	Al;Ce;Ge;Ir;	7;2;4;1;	1.6 K;
Al7Ce2Ge4Ni	Al;Ce;Ge;Ni;	7;2;4;1;	0.8 K;
Al7Fe10Ho2	Al;Fe;Ho;	7;10;2;	209 K;
Al7Fe10Y2	Al;Fe;Y;	7;10;2;	163 K;
Al7Fe5Hf	Al;Fe;Hf;	7;5;1;	263 K;
Al7Fe5U	Al;Fe;U;	7;5;1;	261 K;268 K;
Al7Fe5Zr	Al;Fe;Zr;	7;5;1;	271 K;
Al8.5Fe8.5Ho2	Al;Fe;Ho;	8.5;8.5;2;	182 K;
Al8Fe4Np	Al;Fe;Np;	8;4;1;	130 K;
Al8Fe4U	Al;Fe;U;	8;4;1;	148 K;
Al8Fe9Ho2	Al;Fe;Ho;	8;9;2;	181 K;
Al8Fe9Y2	Al;Fe;Y;	8;9;2;	105 K;
Al9Fe8Ho2	Al;Fe;Ho;	9;8;2;	186 K;
Al9Mn3U	Al;Mn;U;	9;3;1;	30 K;
AlAu2Mn	Al;Au;Mn;	1;2;1;	200 K;233 K;
AlB2Fe2	Al;B;Fe;	1;2;2;	282 K;307 K;275 K;
AlCCr2	Al;C;Cr;	1;1;2;	73 K;73 K;
AlCFe16Y2	Al;C;Fe;Y;	1;1;16;2;	515 K;502 K;
AlCMn3	Al;C;Mn;	1;1;3;	290 K;310 K;289 K;288 K;
AlCe2Fe16	Al;Ce;Fe;	1;2;16;	290 K;
AlCeCo4	Al;Ce;Co;	1;1;4;	370 K;
AlCo0.25Ru0.75U	Al;Co;Ru;U;	1;0.25;0.75;1;	7.5 K;
AlCo0.26Ru0.74U	Al;Co;Ru;U;	1;0.26;0.74;1;	6.5 K;10.5 K;
AlCo0.38Ru0.62U	Al;Co;Ru;U;	1;0.38;0.62;1;	38 K;38.5 K;
AlCo0.3Ru0.7U	Al;Co;Ru;U;	1;0.3;0.7;1;	17 K;18 K;
AlCo0.98Os0.02U	Al;Co;Os;U;	1;0.98;0.02;1;	26 K;
AlCo0.995Ru0.005U	Al;Co;Ru;U;	1;0.995;0.005;1;	4.5 K;
AlCo0.99Ru0.01U	Al;Co;Ru;U;	1;0.99;0.01;1;	20 K;16 K;
AlCo0.9Os0.1U	Al;Co;Os;U;	1;0.9;0.1;1;	48 K;
AlCo10ErTi	Al;Co;Er;Ti;	1;10;1;1;	885 K;
AlCo12La	Al;Co;La;	1;12;1;	1137 K;
AlCo16Gd2	Al;Co;Gd;	1;16;2;	1095 K;
AlCo16Pr2	Al;Co;Pr;	1;16;2;	1042 K;
AlCo2Cr	Al;Co;Cr;	1;2;1;	334 K;334 K;600 K;334 K;
AlCo2Fe	Al;Co;Fe;	1;2;1;	1000 K;1098 K;
AlCo2Hf	Al;Co;Hf;	1;2;1;	193 K;193 K;193 K;
AlCo2Mn	Al;Co;Mn;	1;2;1;	697 K;693 K;693 K;693 K;697 K;726 K;
AlCo2Nb	Al;Co;Nb;	1;2;1;	383 K;383 K;383 K;
AlCo2Ta	Al;Co;Ta;	1;2;1;	260 K;260 K;260 K;
AlCo2Ti	Al;Co;Ti;	1;2;1;	134 K;128 K;134 K;
AlCo2V	Al;Co;V;	1;2;1;	134 K;310 K;310 K;342 K;
AlCo2Zr	Al;Co;Zr;	1;2;1;	185 K;178 K;178 K;
AlCo4Dy	Al;Co;Dy;	1;4;1;	618 K;
AlCo4Er	Al;Co;Er;	1;4;1;	682 K;
AlCo4Gd	Al;Co;Gd;	1;4;1;	613 K;
AlCo4Ho	Al;Co;Ho;	1;4;1;	507 K;193 K;
AlCo4La	Al;Co;La;	1;4;1;	459 K;
AlCo4Nd	Al;Co;Nd;	1;4;1;	298 K;582 K;479 K;
AlCo4Pr	Al;Co;Pr;	1;4;1;	458 K;550 K;
AlCo4Sm	Al;Co;Sm;	1;4;1;	536 K;593 K;
AlCo4Tb	Al;Co;Tb;	1;4;1;	505 K;
AlCo4Tm	Al;Co;Tm;	1;4;1;	561 K;
AlCo4Y	Al;Co;Y;	1;4;1;	561 K;473 K;561 K;
AlCoCr	Al;Co;Cr;	1;1;1;	18 K;
AlCoCr2	Al;Co;Cr;	1;1;2;	750 K;
AlCoCrFe	Al;Co;Cr;Fe;	1;1;1;1;	460 K;
AlCoCrFe0.25	Al;Co;Cr;Fe;	1;1;1;0.25;	165 K;
AlCoCrFe0.5	Al;Co;Cr;Fe;	1;1;1;0.5;	292 K;
AlCoCrFe0.75	Al;Co;Cr;Fe;	1;1;1;0.75;	392 K;
AlCoDy	Al;Co;Dy;	1;1;1;	47 K;
AlCoEr	Al;Co;Er;	1;1;1;	22 K;
AlCoFeO4	Al;Co;Fe;O;	1;1;1;4;	420 K;
AlCoGd	Al;Co;Gd;	1;1;1;	112 K;
AlCoHo	Al;Co;Ho;	1;1;1;	33 K;
AlCoMn2	Al;Co;Mn;	1;1;2;	670 K;720 K;720 K;
AlCoNd	Al;Co;Nd;	1;1;1;	22 K;
AlCoPr	Al;Co;Pr;	1;1;1;	14 K;
AlCoTb	Al;Co;Tb;	1;1;1;	78 K;
AlCoTm	Al;Co;Tm;	1;1;1;	14 K;
AlCr0.1GeMn0.9	Al;Cr;Ge;Mn;	1;0.1;1;0.9;	573.4 K;
AlCr0.2GeMn0.8	Al;Cr;Ge;Mn;	1;0.2;1;0.8;	592 K;
AlCrFe2	Al;Cr;Fe;	1;1;2;	246 K;265 K;316 K;274 K;348 K;246 K;246 K;234 K;246 K;210 K;246 K;
AlCrNi2	Al;Cr;Ni;	1;1;2;	140 K;140 K;
AlCu2Mn	Al;Cu;Mn;	1;2;1;	603 K;603 K;630 K;603 K;
AlCuFe2	Al;Cu;Fe;	1;1;2;	875 K;
AlFe	Al;Fe;	1;1;	373 K;320 K;640 K;260 K;
AlFe0.1GeMn0.9	Al;Fe;Ge;Mn;	1;0.1;1;0.9;	431.2 K;
AlFe0.2GeMn0.8	Al;Fe;Ge;Mn;	1;0.2;1;0.8;	349 K;
AlFe16Ho2	Al;Fe;Ho;	1;16;2;	380 K;
AlFe16NY2	Al;Fe;N;Y;	1;16;1;2;	639 K;
AlFe16Y2	Al;Fe;Y;	1;16;2;	368 K;369 K;
AlFe2Mn	Al;Fe;Mn;	1;2;1;	150 K;
AlFe2Ni	Al;Fe;Ni;	1;2;1;	965 K;
AlFe2Ti	Al;Fe;Ti;	1;2;1;	123 K;123 K;123 K;
AlFe2V	Al;Fe;V;	1;2;1;	7 K;
AlFe3	Al;Fe;	1;3;	543 K;713 K;573 K;573 K;400 K;755 K;400 K;743 K;775 K;
AlFeHf	Al;Fe;Hf;	1;1;1;	38 K;
AlFeTb	Al;Fe;Tb;	1;1;1;	195 K;195 K;
AlFeTi	Al;Fe;Ti;	1;1;1;	17 K;
AlFeY	Al;Fe;Y;	1;1;1;	44 K;
AlGeMn	Al;Ge;Mn;	1;1;1;	503.2 K;503 K;517 K;518 K;
AlHo	Al;Ho;	1;1;	26 K;
AlIrMn	Al;Ir;Mn;	1;1;1;	400 K;400 K;
AlIrU	Al;Ir;U;	1;1;1;	64 K;62 K;64 K;
AlMn	Al;Mn;	1;1;	650 K;650 K;
AlMn2V	Al;Mn;V;	1;2;1;	760 K;
AlMnRh2	Al;Mn;Rh;	1;1;2;	105 K;85 K;95 K;85 K;105 K;
AlNi3	Al;Ni;	1;3;	82 K;4.2 K;23.2 K;40.6 K;50 K;2 K;49 K;71 K;41.5 K;40 K;43 K;43 K;46 K;59 K;43.5 K;55 K;58.1 K;67 K;50 K;50 K;38.2 K;40 K;72 K;43.7 K;71.5 K;87.5 K;86 K;30 K;42 K;25 K;70 K;68.9 K;
AlPr3	Al;Pr;	1;3;	16 K;
AlPrPt	Al;Pr;Pt;	1;1;1;	4.7 K;
AlPtU	Al;Pt;U;	1;1;1;	44 K;43.5 K;46 K;
AlRhU	Al;Rh;U;	1;1;1;	27 K;26.2 K;27 K;
As0.1CoS1.9	As;Co;S;	0.1;1;1.9;	90 K;
As0.25CoS1.75	As;Co;S;	0.25;1;1.75;	12 K;
As0.33FeMnP0.67	As;Fe;Mn;P;	0.33;1;1;0.67;	225 K;
As0.55FeMnP0.45	As;Fe;Mn;P;	0.55;1;1;0.45;	300 K;
As0.67FeMnP0.33	As;Fe;Mn;P;	0.67;1;1;0.33;	325 K;
As1.62EuFe2P0.38	As;Eu;Fe;P;	1.62;1;2;0.38;	19 K;
As2BaCrNi	As;Ba;Cr;Ni;	2;1;1;1;	64 K;
As2Bi0.031Co1.91La0.969	As;Bi;Co;La;	2;0.031;1.91;0.969;	200 K;
As2Bi0.03Co1.9La0.97	As;Bi;Co;La;	2;0.03;1.9;0.97;	178 K;178 K;
As2Bi0.05Ce0.95Co1.85	As;Bi;Ce;Co;	2;0.05;0.95;1.85;	147 K;147 K;
As2Ca0.85Co1.89La0.15	As;Ca;Co;La;	2;0.85;1.89;0.15;	130 K;
As2Ca0.9Co1.91Eu0.1	As;Ca;Co;Eu;	2;0.9;1.91;0.1;	110 K;
As2Ca0.9Co2Eu0.1	As;Ca;Co;Eu;	2;0.9;2;0.1;	88 K;
As2CeCo2	As;Ce;Co;	2;1;2;	40 K;
As2Co1.7La	As;Co;La;	2;1.7;1;	117 K;
As2Co1.7Nd	As;Co;Nd;	2;1.7;1;	62 K;
As2Co1.8Pr	As;Co;Pr;	2;1.8;1;	140 K;140 K;
As2Co1.98La	As;Co;La;	2;1.98;1;	205 K;
As2Co2La	As;Co;La;	2;2;1;	86 K;86 K;200 K;
As2Co2Pr	As;Co;Pr;	2;2;1;	28 K;
As2CoU	As;Co;U;	2;1;1;	144 K;144 K;
As2Cr2Eu	As;Cr;Eu;	2;2;1;	21 K;
As2Cr2Sr	As;Cr;Sr;	2;2;1;	265 K;
As2Cr3	As;Cr;	2;3;	213 K;
As2Cu2U	As;Cu;U;	2;2;1;	140 K;
As2CuMn2O2Sr2	As;Cu;Mn;O;Sr;	2;1;2;2;2;	95 K;
As2CuO4	As;Cu;O;	2;1;4;	7.4 K;7.6 K;
As2CuU	As;Cu;U;	2;1;1;	133 K;133 K;133 K;
As2GeMn	As;Ge;Mn;	2;1;1;	340 K;340 K;
As2Mn3	As;Mn;	2;3;	273 K;273 K;
As2MnSn	As;Mn;Sn;	2;1;1;	328 K;
As3Eu4	As;Eu;	3;4;	18 K;17.5 K;
As3Mn4	As;Mn;	3;4;	126 K;
As3Sm4	As;Sm;	3;4;	160 K;
As4EuFe4Rb	As;Eu;Fe;Rb;	4;1;4;1;	15 K;
As4U3	As;U;	4;3;	198 K;200 K;196 K;200 K;199 K;
As7Ca2Co12	As;Ca;Co;	7;2;12;	38 K;
As7Ce2Co12	As;Ce;Co;	7;2;12;	90 K;
As7Co12Dy2	As;Co;Dy;	7;12;2;	128 K;
As7Co12Er2	As;Co;Er;	7;12;2;	116 K;
As7Co12Eu2	As;Co;Eu;	7;12;2;	136 K;
As7Co12Gd2	As;Co;Gd;	7;12;2;	117 K;
As7Co12Ho2	As;Co;Ho;	7;12;2;	139 K;
As7Co12Nd2	As;Co;Nd;	7;12;2;	113 K;
As7Co12Pr2	As;Co;Pr;	7;12;2;	107 K;
As7Co12Sm2	As;Co;Sm;	7;12;2;	110 K;
As7Co12Tb2	As;Co;Tb;	7;12;2;	131 K;
As7Co12Tm2	As;Co;Tm;	7;12;2;	136 K;
As7Co12Y2	As;Co;Y;	7;12;2;	115 K;
As7Co12Yb2	As;Co;Yb;	7;12;2;	60 K;
AsCm	As;Cm;	1;1;	88 K;
AsCo2	As;Co;	1;2;	12 K;
AsCoFe	As;Co;Fe;	1;1;1;	293 K;
AsCoLaO	As;Co;La;O;	1;1;1;1;	60 K;
AsCoMn	As;Co;Mn;	1;1;1;	350 K;
AsCrNi	As;Cr;Ni;	1;1;1;	188 K;189.8 K;193 K;182 K;171.9 K;
AsCrRu	As;Cr;Ru;	1;1;1;	164 K;164 K;
AsFeMn	As;Fe;Mn;	1;1;1;	190 K;
AsMn	As;Mn;	1;1;	318 K;318 K;307 K;318 K;318.6 K;
AsMnPd	As;Mn;Pd;	1;1;1;	210 K;
AsMnRh	As;Mn;Rh;	1;1;1;	200 K;236 K;
AsMnRu	As;Mn;Ru;	1;1;1;	496 K;
AsPu	As;Pu;	1;1;	125 K;123 K;125 K;
AsSU	As;S;U;	1;1;1;	124 K;
AsSeU	As;Se;U;	1;1;1;	113 K;
AsTeU	As;Te;U;	1;1;1;	66 K;
Au0.5Fe0.5	Au;Fe;	0.5;0.5;	178 K;170 K;168 K;192 K;620 K;120 K;
Au2MnZn	Au;Mn;Zn;	2;1;1;	253 K;
Au2Si2U	Au;Si;U;	2;2;1;	55 K;
Au4CeSi2	Au;Ce;Si;	4;1;2;	3.3 K;
Au4V	Au;V;	4;1;	53 K;57 K;61 K;57 K;
AuBi2U	Au;Bi;U;	1;2;1;	22.5 K;
AuCe2P3	Au;Ce;P;	1;2;3;	31 K;
AuCeGe	Au;Ce;Ge;	1;1;1;	10 K;
AuCuZn2	Au;Cu;Zn;	1;1;2;	28 K;
AuIn2	Au;In;	1;2;	3.5e-05 K;
AuMnSb	Au;Mn;Sb;	1;1;1;	135 K;
AuMnSn	Au;Mn;Sn;	1;1;1;	625 K;
AuSb2U	Au;Sb;U;	1;2;1;	36 K;
AuSi3U2	Au;Si;U;	1;3;2;	11.6 K;
B0.05Co2Dy	B;Co;Dy;	0.05;2;1;	143 K;
B0.09Fe0.91	B;Fe;	0.09;0.91;	944 K;964 K;916 K;978 K;878 K;
B0.1Co2Dy	B;Co;Dy;	0.1;2;1;	145 K;
B0.2Co2Dy	B;Co;Dy;	0.2;2;1;	147 K;
B0.8C0.2Co3FeNd	B;C;Co;Fe;Nd;	0.8;0.2;3;1;1;	492 K;
B10Ce3Co29Si4	B;Ce;Co;Si;	10;3;29;4;	173 K;
B10Co29Dy3Si4	B;Co;Dy;Si;	10;29;3;4;	195 K;
B10Co29Er3Si4	B;Co;Er;Si;	10;29;3;4;	188 K;
B10Co29Gd3Si4	B;Co;Gd;Si;	10;29;3;4;	206 K;210 K;
B10Co29La3Si4	B;Co;La;Si;	10;29;3;4;	149 K;154 K;
B10Co29Nd3Si4	B;Co;Nd;Si;	10;29;3;4;	159 K;
B10Co29Pr3Si4	B;Co;Pr;Si;	10;29;3;4;	193 K;
B10Co29Si4Sm3	B;Co;Si;Sm;	10;29;4;3;	182 K;
B10Co29Si4Tb3	B;Co;Si;Tb;	10;29;4;3;	195 K;
B10Co29Si4Tm3	B;Co;Si;Tm;	10;29;4;3;	176 K;
B2CErNi2	B;C;Er;Ni;	2;1;1;2;	2.3 K;
B2CRh2U	B;C;Rh;U;	2;1;2;1;	185 K;
B2CeIr2	B;Ce;Ir;	2;1;2;	5.1 K;5.1 K;
B2CeIr3	B;Ce;Ir;	2;1;3;	41 K;
B2CeRh3	B;Ce;Rh;	2;1;3;	120 K;115 K;
B2Co0.5Fe4.5P	B;Co;Fe;P;	2;0.5;4.5;1;	563 K;
B2Co0.5Ni12.5Y3	B;Co;Ni;Y;	2;0.5;12.5;3;	86 K;
B2Co1.5Fe3.5P	B;Co;Fe;P;	2;1.5;3.5;1;	400 K;
B2Co11Nd3Ni2	B;Co;Nd;Ni;	2;11;3;2;	600 K;590 K;
B2Co13Nd3	B;Co;Nd;	2;13;3;	700 K;712 K;715 K;720 K;
B2Co13Pr3	B;Co;Pr;	2;13;3;	360 K;
B2Co13Y3	B;Co;Y;	2;13;3;	636 K;
B2Co2.5Fe2.5P	B;Co;Fe;P;	2;2.5;2.5;1;	278 K;
B2Co2Fe3P	B;Co;Fe;P;	2;2;3;1;	335 K;
B2Co2Ni11Y3	B;Co;Ni;Y;	2;2;11;3;	146 K;
B2Co3.5Fe1.5P	B;Co;Fe;P;	2;3.5;1.5;1;	152 K;
B2Co3Dy	B;Co;Dy;	2;3;1;	26 K;
B2Co3Er	B;Co;Er;	2;3;1;	20 K;
B2Co3Fe2P	B;Co;Fe;P;	2;3;2;1;	209 K;
B2Co3Gd	B;Co;Gd;	2;3;1;	57 K;58 K;
B2Co3Ho	B;Co;Ho;	2;3;1;	10 K;
B2Co3Nd3Ni10	B;Co;Nd;Ni;	2;3;3;10;	160 K;
B2Co3Ni10Y3	B;Co;Ni;Y;	2;3;10;3;	170 K;
B2Co3Sm	B;Co;Sm;	2;3;1;	44 K;40 K;40 K;
B2Co3Tb	B;Co;Tb;	2;3;1;	35 K;31 K;
B2Co3Tb0.75Y0.25	B;Co;Tb;Y;	2;3;0.75;0.25;	17 K;
B2Co3Tb0.95Y0.05	B;Co;Tb;Y;	2;3;0.95;0.05;	28 K;
B2Co3Tb0.9Y0.1	B;Co;Tb;Y;	2;3;0.9;0.1;	25 K;
B2Co4Ni9Y3	B;Co;Ni;Y;	2;4;9;3;	201 K;
B2Co5Ni8Y3	B;Co;Ni;Y;	2;5;8;3;	241 K;
B2Co6Nd3Ni7	B;Co;Nd;Ni;	2;6;3;7;	300 K;308 K;
B2Co8Nd3Ni5	B;Co;Nd;Ni;	2;8;3;5;	425 K;410 K;
B2CoFe4P	B;Co;Fe;P;	2;1;4;1;	515 K;481 K;
B2CoFe4Si	B;Co;Fe;Si;	2;1;4;1;	675 K;675 K;
B2CoNd3Ni12	B;Co;Nd;Ni;	2;1;3;12;	5 K;
B2CoNi12Y3	B;Co;Ni;Y;	2;1;12;3;	92 K;
B2DyRu3	B;Dy;Ru;	2;1;3;	50 K;
B2ErRu3	B;Er;Ru;	2;1;3;	32 K;
B2Fe4MnP	B;Fe;Mn;P;	2;4;1;1;	650 K;
B2Fe4MnSi	B;Fe;Mn;Si;	2;4;1;1;	770 K;770 K;
B2Fe5P	B;Fe;P;	2;5;1;	628 K;622 K;628 K;640 K;630 K;
B2Fe5Si	B;Fe;Si;	2;5;1;	784 K;800 K;780 K;784 K;784 K;760 K;784 K;
B2FeRh5Sc2	B;Fe;Rh;Sc;	2;1;5;2;	450 K;
B2GdIr3	B;Gd;Ir;	2;1;3;	30 K;
B2GdRh3	B;Gd;Rh;	2;1;3;	93 K;90 K;
B2GdRu3	B;Gd;Ru;	2;1;3;	10 K;
